,is_word,rt,word,is_test,is_correct,age,modality,experiment_id,subject
400,1,0.9776558000594378,слеза,1,1,19,1,2,1102
401,1,1.003287900006399,губа,1,1,19,1,2,1102
402,1,1.181402700021863,гора,1,1,19,1,2,1102
403,0,0.8930447000311688,урул,1,1,19,1,2,1102
404,1,1.068377999938093,забор,1,1,19,1,2,1102
405,1,1.58759790007025,осень,1,1,19,1,2,1102
406,1,1.191225999966264,зима,1,1,19,1,2,1102
407,1,1.195883400039747,поле,1,1,19,1,2,1102
408,1,1.293320400058292,кресло,1,1,19,1,2,1102
409,1,1.396036899997853,число,1,1,19,1,2,1102
410,1,1.375887300004251,шорты,1,1,19,1,2,1102
411,0,1.135288199991919,ювак,1,1,19,1,2,1102
412,0,1.334654099890031,агва,1,1,19,1,2,1102
413,1,1.570454000029713,палец,1,1,19,1,2,1102
414,1,1.375370700028725,вишня,1,1,19,1,2,1102
415,0,1.143576800008304,яшель,1,1,19,1,2,1102
416,0,1.907838599989191,фазлек,1,1,19,1,2,1102
417,0,2.724838499911129,раква,1,1,19,1,2,1102
418,1,1.197461299947463,овца,1,1,19,1,2,1102
419,0,1.267081400030293,дира,1,1,19,1,2,1102
420,1,1.069019700051285,мясо,1,1,19,1,2,1102
421,1,0.9827498999657108,кролик,1,1,19,1,2,1102
422,1,1.174245000001974,вагон,1,1,19,1,2,1102
423,1,1.246867600013502,ящик,1,1,19,1,2,1102
424,0,1.1203265999211,икруп,1,1,19,1,2,1102
425,1,1.254462099983357,тряпка,1,1,19,1,2,1102
426,0,1.232827500090934,желсок,1,1,19,1,2,1102
427,0,1.842174399993382,зейпан,1,1,19,1,2,1102
428,0,1.152439199970104,пелань,1,1,19,1,2,1102
429,0,1.278959700022824,эпрад,1,1,19,1,2,1102
430,1,1.714725099969655,ведро,1,0,19,1,2,1102
431,1,1.536551700090058,кожа,1,1,19,1,2,1102
432,1,1.191832299926318,санки,1,1,19,1,2,1102
433,1,1.076101399958134,ваза,1,1,19,1,2,1102
434,0,1.398241000017151,гритня,1,1,19,1,2,1102
435,1,1.206288499990478,лужа,1,1,19,1,2,1102
436,1,1.489365399931557,утро,1,1,19,1,2,1102
437,0,1.308016000082716,лазоть,1,1,19,1,2,1102
438,1,1.420154200051911,беда,1,1,19,1,2,1102
439,1,1.254516900051385,труба,1,1,19,1,2,1102
440,1,1.855202200007625,поезд,1,1,19,1,2,1102
441,0,1.145453699980862,зула,1,1,19,1,2,1102
442,1,1.352662099990994,живот,1,1,19,1,2,1102
443,1,1.445086500025354,буква,1,1,19,1,2,1102
444,1,0.9925397000042722,лето,1,1,19,1,2,1102
445,1,1.875918400008231,чудо,1,1,19,1,2,1102
446,1,1.089751999941655,свинья,1,1,19,1,2,1102
447,1,1.117790599935688,этаж,1,1,19,1,2,1102
448,0,0.987122799968347,баларь,1,1,19,1,2,1102
449,0,1.092652300023474,шнеток,1,1,19,1,2,1102
450,0,1.571115299942903,чинтирь,1,1,19,1,2,1102
451,0,1.316563099971972,дрыпля,1,1,19,1,2,1102
452,1,0.8550279999617487,рука,1,1,19,1,2,1102
453,0,1.100900099962018,черан,1,1,19,1,2,1102
454,1,0.9240084000630304,паук,1,1,19,1,2,1102
455,0,0.9936617999337614,апонь,1,1,19,1,2,1102
456,0,1.229444599943236,интец,1,1,19,1,2,1102
457,1,1.082060400047339,ноготь,1,1,19,1,2,1102
458,0,1.128539900062606,юктус,1,1,19,1,2,1102
459,0,1.218761799973436,кальпон,1,1,19,1,2,1102
460,0,2.148126800078899,дипа,1,1,19,1,2,1102
461,1,1.047255699988455,волна,1,0,19,1,2,1102
462,1,1.836127100046724,рукав,1,1,19,1,2,1102
463,0,1.228205100051127,куше,1,1,19,1,2,1102
464,0,1.647979500005022,трефин,1,1,19,1,2,1102
465,0,1.088142800028436,опрыдь,1,1,19,1,2,1102
466,1,1.289960999973118,банка,1,1,19,1,2,1102
467,0,1.767623499967158,тиня,1,1,19,1,2,1102
468,0,1.247920900001191,вогой,1,1,19,1,2,1102
469,0,1.498112700064667,ходо,1,1,19,1,2,1102
470,0,1.780841499916278,битля,1,1,19,1,2,1102
471,1,1.177781899925321,урок,1,1,19,1,2,1102
472,1,1.068403800018132,белка,1,1,19,1,2,1102
473,1,1.100683999946341,ответ,1,1,19,1,2,1102
474,0,1.201924899942242,тойза,1,1,19,1,2,1102
